Rank,Title,Studio,BO,Op,Open,Close,RT,Tag,Cat,ID
1,Star Wars: The Last Jedi,Disney,597718476,220009584,12/15/18,-,90,5,Disney,1
2,Beauty and the Beast,Disney,504014165,174750616,3/17/18,7/13/18,71,4,Disney,1
3,Wonder Woman,Warner Bros.,412563408,103251471,6/2/18,11/9/18,92,5,Warner Bros.,2
4,Guardians of the Galaxy Vol. 2,Disney,389813101,146510104,5/5/18,9/21/18,81,5,Disney,1
5,Spider-Man: Homecoming,Sony,334201140,117027503,7/7/18,11/30/18,93,5,Sony,4
6,It,Warner Bros.,327481748,123403419,9/8/18,12/14/18,85,5,Warner Bros.,2
7,Thor: Ragnarok,Disney,313198531,122744989,11/3/18,-,92,5,Disney,1
8,Jumanji: Welcome to the Jungle,Sony,296945148,36169328,12/20/18,-,76,4,Sony,4
9,Despicable Me 3,Universal,264624300,72434025,6/30/18,12/21/18,63,4,Universal,3
10,Justice League,Warner Bros.,227576070,93842239,11/17/18,-,41,3,Warner Bros.,2
11,Logan,Fox,226277068,88411916,3/3/18,7/13/18,93,5,Fox,6
12,The Fate of the Furious,Universal,226008385,98786705,4/14/18,8/10/18,66,4,Universal,3
13,Coco,Disney,198816300,50802605,11/22/18,-,97,5,Disney,1
14,Dunkirk,Warner Bros.,188045546,50513488,7/21/18,11/23/18,92,5,Warner Bros.,2
15,The LEGO Batman Movie,Warner Bros.,175750384,53003468,2/10/18,6/8/18,90,5,Warner Bros.,2
16,Get Out,Universal,175686870,33377060,2/24/18,7/13/18,99,5,Universal,3
17,The Boss Baby,Fox,175003033,50198902,3/31/18,11/2/18,52,3,Fox,6
18,Pirates of the Caribbean: Dead Men Tell No Tales,Disney,172558876,62983253,5/26/18,9/21/18,29,2,Disney,1
19,Kong: Skull Island,Warner Bros.,168052812,61025472,3/10/18,6/15/18,76,4,Warner Bros.,2
20,Cars 3,Disney,152901115,53688680,6/16/18,11/2/18,66,4,Disney,1
21,War for the Planet of the Apes,Fox,146880162,56262929,7/14/18,11/30/18,95,5,Fox,6
22,Split,Universal,138291365,40010975,1/20/18,5/11/18,75,4,Universal,3
23,Transformers: The Last Knight,Paramount,130168683,44680073,6/21/18,8/24/18,15,1,Paramount,5
24,Wonder,Lionsgate,129354701,27547866,11/17/18,-,85,5,Lionsgate,7
25,Girls Trip,Universal,115171585,31201920,7/21/18,10/19/18,88,5,Universal,3
26,Fifty Shades Darker,Universal,114581250,46607250,2/10/18,4/6/18,10,1,Universal,3
27,Baby Driver,Sony,107825862,20553320,6/28/18,10/19/18,97,5,Sony,4
28,Daddy's Home 2,Paramount,103332780,29651193,11/10/18,-,16,1,Paramount,5
29,The Greatest Showman,Fox,102480607,8805843,12/20/18,-,55,3,Fox,6
30,Murder on the Orient Express,Fox,102122111,28681472,11/10/18,-,59,3,Fox,6
31,Annabelle: Creation,Warner Bros.,102092201,35006404,8/11/18,11/2/18,68,4,Warner Bros.,2
32,Kingsman: The Golden Circle,Fox,100234838,39023010,9/22/18,1/4/18,51,3,Fox,6
33,Pitch Perfect 3,Universal,97513045,19928525,12/22/18,-,31,2,Universal,3
34,John Wick: Chapter Two,Lionsgate,92029184,30436123,2/10/18,4/27/18,89,5,Lionsgate,7
35,Blade Runner 2049,Warner Bros.,91952038,32753122,10/6/18,-,87,5,Warner Bros.,2
36,The Emoji Movie,Sony,86089513,24531923,7/28/18,11/30/18,6,1,Sony,4
37,Power Rangers,Lionsgate,85364450,40300288,3/24/18,6/1/18,47,3,Lionsgate,7
38,The Mummy,Universal,80227895,31688375,6/9/18,8/24/18,15,1,Universal,3
39,Ferdinand,Fox,77486216,13401586,12/15/18,-,70,4,Fox,6
40,The Hitman's Bodyguard,Lionsgate,75468583,21384504,8/18/18,11/2/18,40,2,Lionsgate,7
41,Alien: Covenant,Fox,74262031,36160621,5/19/18,8/31/18,71,4,Fox,6
42,Captain Underpants: The First Epic Movie,Fox,73921000,23851539,6/2/18,11/2/18,85,5,Fox,6
43,A Bad Moms Christmas,STX,72110659,16759161,11/1/18,1/11/18,28,2,Independent,8
44,A Dog's Purpose,Universal,64508620,18222810,1/27/18,5/18/18,30,2,Universal,3
45,The LEGO Ninjago Movie,Warner Bros.,59281555,20433071,9/22/18,11/30/18,54,3,Warner Bros.,2
46,Baywatch,Paramount,58060186,18503871,5/25/18,7/27/18,19,1,Paramount,5
47,The Shack,Lionsgate,57386418,16172119,3/3/18,5/18/18,21,2,Lionsgate,7
48,Happy Death Day,Universal,55683845,26039025,10/13/18,12/14/18,71,4,Universal,3
49,Atomic Blonde,Focus,51687870,18286420,7/28/18,10/5/18,75,4,Independent,8
50,American Made,Universal,51342000,16776390,9/29/18,12/14/18,87,5,Universal,3
51,The Dark Tower,Sony,50701325,19153698,8/4/18,10/19/18,18,1,Sony,4
52,Tyler Perry's Boo 2! A Madea Halloween,Lionsgate,47319572,21226953,10/20/18,12/14/18,6,1,Lionsgate,7
53,Snatched,Fox,45852178,19542248,5/12/18,8/3/18,35,2,Fox,6
54,The Great Wall,Universal,45540830,18469620,2/17/18,6/1/18,35,2,Universal,3
55,Smurfs: The Lost Village,Sony,45020282,13210449,4/7/18,8/3/18,37,2,Sony,4
56,Going in Style,Warner Bros.,45018541,11932330,4/7/18,7/13/18,46,3,Warner Bros.,2
57,All Eyez on Me,Lionsgate,44922302,26435354,6/16/18,8/3/18,18,1,Lionsgate,7
58,xXx: The Return of Xander Cage,Paramount,44898413,20130142,1/20/18,3/16/18,43,3,Paramount,5
59,47 Meters Down,ENTMP,44307192,11205561,6/16/18,10/19/18,53,3,Independent,8
60,The Big Sick,Lionsgate,42873127,421577,6/23/18,10/22/18,97,5,Lionsgate,7
61,Valerian and the City of a Thousand Planets,STX,41189488,17007624,7/21/18,9/21/18,54,3,Independent,8
62,The Star,Sony,40621914,9812674,11/17/18,-,49,3,Sony,4
63,Ghost in the Shell,Paramount,40563557,18676033,3/31/18,5/25/18,45,3,Paramount,5
64,King Arthur: Legend of the Sword,Warner Bros.,39175066,15371270,5/12/18,7/20/18,28,2,Warner Bros.,2
65,Darkest Hour,Focus,38063177,175006,11/22/18,-,86,5,Independent,8
66,Jigsaw,Lionsgate,38052832,16640452,10/27/18,12/21/18,34,2,Lionsgate,7
67,Lady Bird,A24,37859235,364437,11/3/18,-,100,5,Independent,8
68,American Assassin,Lionsgate,36249674,14846778,9/15/18,11/9/18,35,2,Lionsgate,7
69,The Foreigner,STX,34393507,13113024,10/13/18,12/21/18,60,4,Independent,8
70,"Everything, Everything",Warner Bros.,34121140,11727390,5/19/18,7/27/18,49,3,Warner Bros.,2
71,Wind River,Weinstein,33800859,161558,8/4/18,12/7/18,86,5,Independent,8
72,Geostorm,Warner Bros.,33700160,13707376,10/20/18,1/11/18,13,1,Warner Bros.,2
73,Monster Trucks,Paramount,33370166,10950705,1/13/18,3/16/18,32,2,Paramount,5
74,The Post,Fox,33041402,526011,12/22/18,-,88,5,Fox,6
75,Fist Fight,Warner Bros.,32187017,12201873,2/17/18,4/13/18,27,2,Warner Bros.,2
76,How to be a Latin Lover,PNT,32149404,12252439,4/28/18,6/22/18,40,2,Independent,7
77,Kidnap,Aviron,30718107,10016323,8/4/18,11/16/18,38,2,Independent,8
78,Underworld: Blood Wars,Sony ScreenGems,30353973,13688751,1/6/18,3/9/18,18,1,Independent,4
79,The Mountain Between Us,Fox,30348555,10551336,10/6/18,12/21/18,42,3,Fox,6
80,Life,Sony,30234022,12501936,3/24/18,6/1/18,67,4,Sony,4
81,"Three Billboards Outside Ebbing, Missouri",Fox Searchlight,30077357,322168,11/10/18,-,94,5,Independent,6
82,The Nut Job 2: Nutty by Nature,Open Road,28370522,8342311,8/11/18,9/28/18,11,1,Independent,8
83,The Shape of Water,Fox Searchlight,28009047,166564,12/1/18,-,92,5,Independent,6
84,Rings,Paramount,27793018,13002632,2/3/18,3/23/18,6,1,Paramount,5
85,Logan Lucky,BST,27780977,7600036,8/18/18,11/9/18,93,5,Independent,8
86,Home Again,Open Road,27020284,8567881,9/8/18,11/9/18,32,2,Independent,8
87,Resident Evil: The Final Chapter,Sony ScreenGems,26830068,13601682,1/27/18,3/30/18,35,2,Independent,4
88,The House,Warner Bros.,25584504,8724795,6/30/18,8/31/18,18,1,Warner Bros.,2
89,Gifted,Fox Searchlight,24801212,446380,4/7/18,8/24/18,70,4,Independent,6
90,Downsizing,Paramount,24244309,4954287,12/22/18,-,50,3,Paramount,5
91,All the Money in the World,Sony,23729091,5584684,12/25/18,-,77,4,Sony,4
92,Molly's Game,STX,22658509,2349967,12/25/18,-,81,5,Independent,8
93,The Bye Bye Man,STX,22395806,13501349,1/13/18,2/16/18,24,2,Independent,8
94,Victoria and Abdul,Focus,22245070,158845,9/22/18,-,64,4,Independent,8
95,Rough Night,Sony,22105643,8004283,6/16/18,8/31/18,48,3,Sony,4
96,My Little Pony: The Movie,Lionsgate,21885107,8885899,10/6/18,-,45,3,Lionsgate,7
97,Leap!,Weinstein,21858070,4730038,8/25/18,12/7/18,39,2,Independent,8
98,Sleepless,Open Road,20783704,8344128,1/13/18,3/9/18,21,2,Independent,8
99,Diary of a Wimpy Kid: The Long Haul,Fox,20738724,7126084,5/19/18,8/17/18,19,1,Fox,6
100,The Disaster Artist,A24,20551035,1211345,12/1/18,-,91,5,Independent,8
101,The Circle,STX,20497844,9034148,4/28/18,6/8/18,15,1,Independent,8
102,Baahubali 2: The Conclusion,GrtIndia,20186659,10430497,4/28/18,5/25/18,100,5,Independent,8
103,CHiPs,Warner Bros.,18600152,7722802,3/24/18,5/25/18,16,1,Warner Bros.,2
104,Only The Brave,Sony,18300340,6002665,10/20/18,-,89,5,Sony,4
105,mother!,Paramount,17800004,7534673,9/15/18,10/26/18,68,4,Paramount,5
106,The Zookeeper's Wife,Focus,17571660,3288835,3/31/18,6/22/18,60,3,Independent,8
107,Father Figures,Warner Bros.,17350050,3287451,12/22/18,-,26,2,Warner Bros.,2
108,The Glass Castle,Lionsgate,17273059,4678548,8/11/18,10/12/18,49,3,Lionsgate,7
109,Flatliners,Sony,16883115,6574326,9/29/18,11/23/18,5,1,Sony,4
110,Detroit,Annapurna,16790139,350190,7/28/18,10/12/18,84,5,Independent,8
111,The Case for Christ,PureFlix,14682684,3967885,4/7/18,6/29/18,79,4,Independent,8
112,Wish Upon,BG,14301505,5467084,7/14/18,10/12/18,19,1,Independent,8
113,It Comes At Night,A24,13985117,5988370,6/9/18,9/17/18,87,5,Independent,8
114,Born in China,Disney,13873211,4790367,4/21/18,7/6/18,85,5,Disney,1
115,Megan Leavey,BST,13406883,3810867,6/9/18,9/14/18,82,5,Independent,8
116,The Founder,Weinstein,12786053,3404102,1/19/18,4/27/18,84,5,Independent,8
117,Battle of the Sexes,Fox Searchlight,12638526,518332,9/22/18,12/21/18,86,5,Independent,6
118,Before I Fall,Open Road,12241122,4690214,3/3/18,4/27/18,67,4,Independent,8
119,"Roman J. Israel, Esq.",Sony,11917581,61999,11/17/18,-,51,3,Sony,4
120,"I, Tonya",Neon,11648717,264155,12/8/18,-,89,5,Independent,8
121,Unforgettable,Warner Bros.,11368012,4785431,4/21/18,6/1/18,26,2,Warner Bros.,2
122,The Beguiled,Focus,10709995,229292,6/23/18,8/17/18,77,4,Independent,8
123,The Belko Experiment,BH Tilt,10166820,4137230,3/17/18,5/25/18,55,3,Independent,8
124,Marshall,Open Road,10051659,3000805,10/13/18,1/18/18,83,5,Independent,8
125,Thank You for Your Service,Universal,9536300,3817700,10/27/18,11/30/18,76,4,Universal,3
126,Rock Dog,Lionsgate,9420546,3704749,2/24/18,4/13/18,45,3,Lionsgate,7
127,The Lost City of Z,BST,8580410,110175,4/14/18,7/20/18,88,5,Independent,8
128,The Promise,Open Road,8224288,4095718,4/21/18,5/18/18,50,3,Independent,8
129,A Cure for Wellness,Fox,8106986,4356941,2/17/18,3/23/18,42,3,Fox,6
130,The Space Between Us,STX,7885294,3775596,2/3/18,3/2/18,17,1,Independent,8
131,Call Me by Your Name,Sony ScreenGems,7697375,412932,11/24/18,-,96,5,Independent,4
132,Gold,Weinstein,7227038,3471316,1/27/18,3/9/18,43,3,Independent,8
133,Let there be Light,ADC,7212466,1729535,10/27/18,-,60,4,Independent,8
134,I am Not Your Negro,Magnolia,7123919,686378,2/3/18,6/8/18,98,5,Independent,8
135,Beatriz At Dinner,Roadside Attractions,7115854,141959,6/9/18,10/5/18,77,4,Independent,8
136,Birth of the Dragon,BH Tilt,6901965,2702430,8/25/18,9/28/18,21,2,Independent,8
137,The Snowman,Universal,6700035,3372565,10/20/18,11/23/18,8,1,Universal,3
138,Loving Vincent,Good Deed,6503016,23180,9/22/18,-,81,5,Independent,8
139,Same Kind of Different as Me,PureFlix,6417662,2591985,10/20/18,-,29,2,Independent,8
140,Lowriders,BH Tilt,6303560,2403885,5/12/18,6/29/18,55,3,Independent,8
141,Maudie,Sony ScreenGems,6170998,45920,4/14/18,11/16/18,88,5,Independent,4
142,Just Getting Started,BG,5973430,3201459,12/8/18,-,5,1,Independent,8
143,All Saints,Sony,5802208,1514278,8/25/18,10/26/18,93,5,Sony,4
144,Suburbicon,Paramount,5775178,2840246,10/27/18,11/16/18,28,2,Paramount,5
145,The Man Who Invented Christmas,BST,5673756,1357129,11/22/18,-,80,4,Independent,8
146,Paris Can Wait,Sony ScreenGems,5617731,98850,5/12/18,9/28/18,49,3,Independent,4
147,Tiger Zinda Hai,Yash,5560921,1787108,12/22/18,-,67,4,Independent,8
148,The Florida Project,A24,5532789,157553,10/6/18,-,96,5,Independent,8
149,Your Name.,FUNimation Films,5017246,1813781,4/7/18,7/27/18,98,5,Independent,8